output_column	source_column	role	description	dtype	units	derivation	allowed_missing	expected_missing_n	modeling_rule	provenance_notes
RID	RID	IDENTIFIER	ADNI participant identifier; primary key of this dataset.	int64	integer id	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	no	0	NEVER a predictor. It carries site/enrolment-order information and would leak.	One row per RID; 401 unique, sorted ascending.
anchor_date	anchor_date	PROVENANCE	Date of the plasma draw that anchors follow-up for this participant.	str	date (YYYY-MM-DD)	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	no	0	NEVER a predictor. Provenance and NACC harmonization only; calendar time is not a study variable.	Defines t=0; not recomputed here.
time_to_event_or_censor_days	time_to_event_or_censor_days	SURVIVAL DURATION	Days from anchor_date to incident dementia, or to last dementia-free follow-up if censored.	float64	days	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1) (not recomputed)	no	0	Duration term of the survival model. Always pair with event_indicator.	Strictly positive for all 401; frozen by Build 1.
event_indicator	event_indicator	SURVIVAL EVENT	1 = incident all-cause dementia during follow-up; 0 = censored dementia-free.	int64	0/1	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1) (not recomputed)	no	0	Event term of the survival model. 0 means CENSORED, not 'stable' — never treat it as a binary progression label.	85 events / 316 censored; frozen by Build 1.
entry_age	entry_age	CORE PREDICTOR	Age at study entry.	float64	years	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	no	0	Core predictor in M0 and M1.	UNDATED upstream: age at ENTRY, not age at the anchor draw. Documented limitation.
APOE4_COUNT	APOE4_COUNT	CORE PREDICTOR	Number of APOE e4 alleles.	float64	alleles (0/1/2)	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	no	0	Core predictor in M0 and M1. NEVER include together with APOE4_CARRIER — they encode the same variable and are collinear by construction.	Complete in the primary cohort by cohort-C construction.
APOE4_CARRIER	APOE4_COUNT	CORE PREDICTOR (derived)	Binary APOE e4 carrier status.	int64	0/1	(APOE4_COUNT >= 1).astype(int)	no	0	Alternative coding of APOE4_COUNT for sensitivity analysis. NEVER include together with APOE4_COUNT in the same model.	Derived in this build; deterministic function of APOE4_COUNT.
ptau217	ptau217	RAW AUDIT VARIABLE	Plasma phosphorylated tau 217, raw scale.	float64	pg/mL	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	no	0	Retained for AUDITABILITY / traceability. Prefer the log form for modeling; NEVER put the raw and log form of the same biomarker in one model. log_ptau217 is the modeling form used in M1.	Fujirebio platform. Strictly positive for all 401 (asserted).
log_ptau217	ptau217	CORE PREDICTOR (derived)	Natural log of plasma p-tau217.	float64	log(pg/mL)	np.log(ptau217)  [natural log]	no	0	The p-tau217 term of M1. NEVER include together with raw ptau217.	numpy.log; every input finite and strictly positive (asserted).
gfap	gfap	RAW AUDIT VARIABLE	Plasma glial fibrillary acidic protein, raw scale.	float64	pg/mL	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	yes — optional biomarker	40	Retained for AUDITABILITY / traceability. Prefer the log form for modeling; NEVER put the raw and log form of the same biomarker in one model. log_gfap is the modeling form.	Quanterix panel. Missing for exactly the same 40 participants as nfl.
log_gfap	gfap	OPTIONAL PREDICTOR (derived)	Natural log of plasma GFAP.	float64	log(pg/mL)	np.log(gfap)  [natural log; NA preserved where gfap is NA]	yes — optional biomarker	40	Candidate extension to M1. NEVER include together with raw gfap.	numpy.log; NA mask identical to gfap (asserted).
nfl	nfl	RAW AUDIT VARIABLE	Plasma neurofilament light chain, raw scale.	float64	pg/mL	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	yes — optional biomarker	40	Retained for AUDITABILITY / traceability. Prefer the log form for modeling; NEVER put the raw and log form of the same biomarker in one model. log_nfl is the modeling form.	Quanterix panel. Missing for exactly the same 40 participants as gfap.
log_nfl	nfl	OPTIONAL PREDICTOR (derived)	Natural log of plasma NfL.	float64	log(pg/mL)	np.log(nfl)  [natural log; NA preserved where nfl is NA]	yes — optional biomarker	40	Candidate extension to M1. NEVER include together with raw nfl.	numpy.log; NA mask identical to nfl (asserted).
abeta42	abeta42	RAW AUDIT VARIABLE	Plasma amyloid-beta 42, raw scale.	float64	pg/mL	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	yes — optional biomarker	2	Retained for AUDITABILITY as the ratio numerator. Model the ratio, not the component; NEVER include a component alongside ratio_ab42_ab40.	Fujirebio platform; same assay row as abeta40.
abeta40	abeta40	RAW AUDIT VARIABLE	Plasma amyloid-beta 40, raw scale.	float64	pg/mL	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	yes — optional biomarker	2	Retained for AUDITABILITY as the ratio denominator. Model the ratio, not the component; NEVER include a component alongside ratio_ab42_ab40.	Fujirebio platform; strictly positive wherever observed (asserted).
ratio_ab42_ab40	ratio_ab42_ab40	OPTIONAL PREDICTOR	Plasma amyloid-beta 42 to 40 ratio.	float64	ratio (unitless)	abeta42 / abeta40  (carried from the frozen column; recomputation verified to agree at rtol=1e-10, atol=1e-12)	yes — optional biomarker	2	Candidate extension to M1. NEVER include together with abeta42 or abeta40.	Both components come from the same assay row; NA where either component is NA.
pre_anchor_dementia_n	pre_anchor_dementia_n	QC ONLY	PARTICIPANT-level field whose VALUE is a count of dementia diagnosis RECORDS dated strictly before this participant's anchor. A record count, not a participant count.	int64	count of diagnosis records	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	no	0	QC / sensitivity only. NEVER a predictor, and NEVER a filter for the shared primary dataset. Use only in an explicitly-labelled sensitivity analysis.	Build 1 §6.1 identified 8 PARTICIPANTS in anchor cohort A with pre-anchor dementia; 4 of them remain in this frozen primary cohort (RIDs 467, 4115, 4506, 4706), carrying 12 diagnosis RECORDS in total (5+4+2+1). The circulated '8' is a participant count in cohort A, never a record count. All 4 are RETAINED; adjudication pending.
qc_dementia_on_or_before_anchor	qc_dementia_on_or_before_anchor	QC ONLY	PARTICIPANT-level binary flag: this participant has >= 1 dementia diagnosis on or before the anchor. True for exactly 4 participants.	bool	boolean	carried byte-for-byte from mci_survival_primary_cohort_v1.tsv (frozen v1)	no	0	QC / sensitivity only. NEVER a predictor, and NEVER a filter for the shared primary dataset. Use only in an explicitly-labelled sensitivity analysis.	Equivalent to pre_anchor_dementia_n > 0 (asserted). Exactly 1 of the 4 flagged participants is an event (RID 467). Retained, not excluded.
eligible_core	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core predictors (entry_age, APOE4_COUNT, log_ptau217); else 0. 401 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 predictors (entry_age, APOE4_COUNT, log_ptau217)) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
eligible_gfap	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core + log_gfap; else 0. 361 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 + log_gfap) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
eligible_nfl	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core + log_nfl; else 0. 361 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 + log_nfl) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
eligible_amyloid	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core + ratio_ab42_ab40; else 0. 399 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 + ratio_ab42_ab40) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
eligible_gfap_nfl	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core + log_gfap + log_nfl; else 0. 361 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 + log_gfap + log_nfl) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
eligible_gfap_amyloid	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core + log_gfap + ratio_ab42_ab40; else 0. 359 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 + log_gfap + ratio_ab42_ab40) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
eligible_nfl_amyloid	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core + log_nfl + ratio_ab42_ab40; else 0. 359 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 + log_nfl + ratio_ab42_ab40) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
eligible_full_blood	(derived from feature availability)	ANALYSIS-SET FLAG	1 if the participant has complete data for core + log_gfap + log_nfl + ratio_ab42_ab40; else 0. 359 eligible.	int64	0/1	(entry_age & APOE4_COUNT & log_ptau217 + log_gfap + log_nfl + ratio_ab42_ab40) all notna(), cast to int	no	0	Analysis-set selector. NEVER a predictor — use it only to subset rows to the participants who have the required features.	Derived from observed nonmissingness only — never manually assigned. Counts reconciled against mci_survival_analysis_set_counts_v1.tsv.
